x,y,r,theta,length,total_length
2.4439070147568174,0.0,2.4439070147568174,0.0,0.0,0.0
2.442187614156501,0.1536774361487732,2.447018000980108,0.06284327912254542,0.15361463557913127,0.15361463557913127
2.430801970204054,0.30713813762937486,2.4501289872033984,0.12568655824509084,0.15381010010953833,0.30742473568866957
2.409770590089849,0.45977393396821176,2.4532399734266894,0.18852983736763626,0.15400556474160684,0.46143030043027644
2.3791522555440614,0.610978380888378,2.45635095964998,0.2513731164901817,0.15420102947495015,0.6156313299052266
2.3390438865049674,0.7601491697045205,2.4594619458732705,0.3142163956127271,0.1543964943091836,0.7700278242144102
2.2895802530769815,0.9066905263730282,2.462572932096561,0.3770596747352725,0.15459195924392471,0.924619783458335
2.23093353654216,1.0500155906426487,2.465683918319852,0.43990295385781797,0.1547874242787924,1.0794072077371273
2.1633127407907984,1.1895487658059198,2.4687949045431425,0.5027462329803634,0.15498288941340793,1.2343900971505353
2.0869629561347476,1.3247280296449944,2.471905890766433,0.5655895121029088,0.15517835464739446,1.3895684517979296
2.0021644780586767,1.455007197296285,2.4750168769897236,0.6284327912254541,0.15537381998037694,1.5449422717783066
1.9092317840475042,1.5798581269264294,2.4781278632130146,0.6912760703479996,0.15556928541198242,1.700511557190289
1.8085123722000618,1.6987728593167788,2.481238849436305,0.754119349470545,0.15576475094183892,1.8562763081321279
1.7003854658976567,1.8112656826942506,2.4843498356595957,0.8169626285930904,0.1559602165695777,2.0122365247017058
1.585260589339106,1.916875114422041,2.487460821882886,0.8798059077156359,0.1561556822948313,2.168392206996537
1.4635760192789902,2.01516579147343,2.4905718081061767,0.9426491868381813,0.15635114811723308,2.32474335511377
1.3357971188110607,2.105730261954482,2.4936827943294677,1.0054924659607267,0.15654661403642006,2.48128996915019
1.2024145595219722,2.1881906703156644,2.4967937805527582,1.0683357450832722,0.15674208005203008,2.6380320492022205
1.0639424387997307,2.262200329296787,2.499904766776049,1.1311790242058175,0.15693754616370176,2.7949695953659224
0.920916299514641,2.327445172082709,2.5030157529993393,1.194022303328363,0.15713301237107857,2.952102607737001
0.7738910596962771,2.383645078607305,2.5061267392226303,1.2568655824509083,0.15732847867380156,3.109431086410803
0.6234388602063885,2.430555070428477,2.509237725445921,1.3197088615734538,0.157523945071518,3.266955031482321
0.4701468387531902,2.46796636910561,2.5123487116692114,1.3825521406959993,0.15771941156387312,3.424674443046194
0.31461483890561753,2.495707313540959,2.515459697892502,1.4453954198185446,0.1579148781505154,3.5825893211967093
0.15745306304563508,2.513644132295787,2.518570684115793,1.50823869894109,0.1581103448310968,3.740699666027806
-0.0007203215586921877,2.521681567458699,2.5216816703390834,1.5710819780636356,0.15830581160526777,3.899005477633074
-0.15928161416796882,2.519763347225159,2.524792656562374,1.6339252571861809,0.158501278472682,4.057506756105756
-0.31760403991081604,2.5078725049414614,2.5279036427856645,1.6967685363087264,0.15869674543299664,4.216203501538753
-0.47506022735028514,2.486031542971093,2.531014629008955,1.7596118154312719,0.15889221248586716,4.37509571402462
-0.6310246944838375,2.4543024403540388,2.534125615232246,1.8224550945538172,0.15908767963095238,4.534183393655573
-0.7848763333260834,2.412786503847832,2.5372366014555365,1.8852983736763627,0.15928314686791453,4.693466540523487
-0.9360008832052139,2.361624062560486,2.540347587678827,1.948141652798908,0.1594786141964135,4.852945154719901
-1.0837933829250148,2.300994007007438,2.5434585739021176,2.0109849319214534,0.15967408161611535,5.0126192363360165
-1.2276605920044799,2.231113174044859,2.5465695601254086,2.073828211043999,0.15986954912668389,5.172488785462701
-1.3670233713062767,2.1522355797475847,2.549680546348699,2.1366714901665445,0.16006501672778684,5.332553802190487
-1.5013190135032852,2.0646515029090913,2.5527915325719897,2.1995147692890895,0.1602604844190917,5.492814286609579
-1.6300035140087201,1.9686864224409335,2.55590251879528,2.262358048411635,0.16045595220027226,5.653270238809851
-1.7525537732093157,1.864699812537455,2.5590135050185707,2.3252013275341805,0.16065142007099706,5.813921658880848
-1.8684697210920014,1.7530838000460065,2.5621244912418617,2.388044606656726,0.1608468880309408,5.974768546911789
-1.977276355641397,1.6342616890410617,2.5652354774651522,2.4508878857792715,0.1610423560797786,6.135810902991567
-2.078525686707401,1.5086863581402385,2.5683464636884428,2.5137311649018166,0.16123782421718597,6.297048727208753
-2.171798577397808,1.3768385366190952,2.5714574499117333,2.576574444024362,0.16143329244284466,6.458482019651598
-2.256706475439003,1.239224965877631,2.5745684361350243,2.6394177231469076,0.16162876075643104,6.620110780408028
-2.3328930273668926,1.0963764532825524,2.577679422358315,2.702261002269453,0.16182422915762767,6.781935009565656
-2.40003556885866,0.9488458258537565,2.5807904085816054,2.7651042813919986,0.16201969764611737,6.943954707211773
-2.4578464849920683,0.7972057916791764,2.583901394804896,2.827947560514544,0.16221516622158466,7.106169873433358
-2.5060744347209813,0.6420467173275171,2.5870123810281864,2.890790839637089,0.1624106348837143,7.268580508317072
-2.544505434381622,0.4839743298817877,2.5901233672514774,2.9536341187596347,0.1626061036321972,7.431186611949269
-2.572963795591768,0.3236073525365275,2.593234353474768,3.01647739788218,0.16280157246671895,7.593988184415989
-2.5913129134725614,0.1615750829867377,2.5963453396980585,3.0793206770047257,0.16299704138697108,7.75698522580296
-2.5994559017075183,-0.0014850759142771243,2.599456325921349,3.142163956127271,0.1631925103926455,7.920177736195606
-2.5973360715535474,-0.16493012353891412,2.60256731214464,3.2050072352498162,0.1633879794834346,8.08356571567904
-2.5849372525318457,-0.32811399704783445,2.6056782983679305,3.2678505143723617,0.16358344865903662,8.247149164338076
